㐖毒	het dowk	Xie2 du2	/India (archaic)/
旗籍	gi dzjek	qi2 ji2	/Manchu household register (during the Qing Dynasty)/
旗艦	gi haemX	qi2 jian4	/flagship/
旗袍	gi baw	qi2 pao2	/Chinese-style dress/cheongsam/
日中	nyit trjuwng	ri4 zhong1	/noon/midday/zenith/
日人	nyit nyin	Ri4 ren2	/Japanese person/the Japanese/
日來	nyit loj	ri4 lai2	/in the past few days/lately/
日元	nyit ngjwon	Ri4 yuan2	/Japanese yen (unit of currency)/also written 日圓|日圆/
日光	nyit kwang	ri4 guang1	/sunlight/
日冕	nyit mjenX	ri4 mian3	/corona/
日刊	nyit khan	ri4 kan1	/daily (publication)/
日前	nyit dzen	ri4 qian2	/the other day/a few days ago/
日化	nyit xwaeH	ri4 hua4	/household chemicals (cleaning products etc) and toiletries/abbr. for 日用化學製品|日用化学制品/
日圓	nyit hjwen	Ri4 yuan2	/Japanese yen (unit of currency)/CL:個|个[ge4]/
日報	nyit pawH	ri4 bao4	/daily newspaper/
日場	nyit drjang	ri4 chang3	/daytime show/matinee/
日夜	nyit yaeH	ri4 ye4	/day and night/around the clock/
日媒	nyit mwoj	Ri4 mei2	/Japanese news media/
日子	nyit tsiX	ri4 zi5	/day/a (calendar) date/days of one's life/
日常	nyit dzyang	ri4 chang2	/daily/everyday/
日式	nyit syik	Ri4 shi4	/Japanese style/
日怪	nyit kweajH	ri4 guai4	/(dialect) strange/
日惹	nyit nyaeX	Ri4 re3	/Yogyakarta, city of Java, Indonesia, and capital of the Special Region of Yogyakarta 日惹特區|日惹特区[Ri4 ye3 Te4 qu1]/
日文	nyit mjun	Ri4 wen2	/Japanese (language)/
日新	nyit sin	ri4 xin1	/in constant progress/
日日	nyit nyit	ri4 ri4	/every day/
日晷	nyit kwijX	ri4 gui3	/sundial/
日暮	nyit muH	ri4 mu4	/sunset/
日曆	nyit lek	ri4 li4	/calendar/CL:張|张[zhang1],本[ben3]/
日月	nyit ngjwot	ri4 yue4	/the sun and moon/day and month/every day and every month/season/life and livelihood/
日期	nyit gi	ri4 qi1	/date/CL:個|个[ge4]/
日本	nyit pwonX	Ri4 ben3	/Japan/
日流	nyit ljuw	Ri4 liu2	/the spread of Japanese cultural products (anime, pop music etc) to other countries/
日照	nyit tsyewH	Ri4 zhao4	/Rizhao prefecture level city in Shandong/
日照	nyit tsyewH	ri4 zhao4	/sunshine/
日班	nyit paen	ri4 ban1	/day shift/
日用	nyit yowngH	ri4 yong4	/daily expenses/of everyday use/
日益	nyit ’jiek	ri4 yi4	/day by day/more and more/increasingly/more and more with each passing day/
日神	nyit zyin	Ri4 shen2	/the Sun God/Apollo/
日程	nyit drjeng	ri4 cheng2	/schedule/itinerary/CL:個|个[ge4]/
日立	nyit lip	Ri4 li4	/Hitachi, Ltd./
日系	nyit hejH	Ri4 xi4	/Japanese section (of school)/Japanese-related (business)/
日美	nyit mijX	Ri4 Mei3	/Japan-US/
日至	nyit tsyijH	ri4 zhi4	/solstice/the winter solstice 冬至 and summer solstice 夏至/
日臻	nyit tsrin	ri4 zhen1	/to reach day after day for/
日航	nyit hang	Ri4 Hang2	/Japan Airlines (JAL)/abbr. for 日本航空[Ri4 ben3 Hang2 kong1]/
日落	nyit lak	ri4 luo4	/sundown/sunset/
日薪	nyit sin	ri4 xin1	/daily wage/
日蝕	nyit zyik	ri4 shi2	/variant of 日食[ri4 shi2]/
日裔	nyit yejH	Ri4 yi4	/of Japanese descent/
日規	nyit kjwie	ri4 gui1	/sundial/
日記	nyit kiH	ri4 ji4	/diary/CL:則|则[ze2],本[ben3],篇[pian1]/
日誌	nyit tsyiH	ri4 zhi4	/journal/log (computing)/
日貨	nyit xwaH	Ri4 huo4	/Japanese goods/
日趨	nyit tshju	ri4 qu1	/(increasing) day by day/(more critical) with every passing day/gradually/
日軍	nyit kjun	Ri4 jun1	/Japanese army/Japanese troops/
日間	nyit keanH	ri4 jian1	/daytime/
日電	nyit denH	Ri4 dian4	/NEC (Nippon Electronic Company)/abbr. for 日電電子|日电电子/
日頭	nyit duw	ri4 tou2	/sun (dialect)/daytime/date/
旨意	tsyijX ’iH	zhi3 yi4	/decree/order/
早些	tsawX sjae	zao3 xie1	/a bit earlier/
早亡	tsawX mjang	zao3 wang2	/premature death/
早來	tsawX loj	zao3 lai2	/to come early/already/early/
早前	tsawX dzen	zao3 qian2	/previously/
早勃	tsawX bwot	zao3 bo2	/morning erection/
早報	tsawX pawH	zao3 bao4	/morning newspaper/
早場	tsawX drjang	zao3 chang3	/morning show (at theater)/matinee/
早婚	tsawX xwon	zao3 hun1	/to marry too early/
早安	tsawX ’an	zao3 an1	/Good morning!/
早就	tsawX dzjuwH	zao3 jiu4	/already at an earlier time/
早市	tsawX dzyiX	zao3 shi4	/morning market/
早年	tsawX nen	zao3 nian2	/early years/adolescence/
早戀	tsawX ljwenH	zao3 lian4	/puppy love/
早播	tsawX paH	zao3 bo1	/to plant early/to sow seeds in early spring/early sowing/
早日	tsawX nyit	zao3 ri4	/soon/shortly/on a day quite soon/promptly/
早春	tsawX tsyhwin	zao3 chun1	/early spring/
早晚	tsawX mjonX	zao3 wan3	/morning and evening/sooner or later/
早晨	tsawX zyin	zao3 chen2	/early morning/CL:個|个[ge4]/
早期	tsawX gi	zao3 qi1	/early period/early phase/early stage/
早歲	tsawX sjwejH	zao3 sui4	/early years/adolescence/
早死	tsawX sijX	zao3 si3	/early demise/untimely death/
早洩	tsawX yejH	zao3 xie4	/premature ejaculation/
早熟	tsawX dzyuwk	zao3 shu2	/precocious/early-maturing/
早班	tsawX paen	zao3 ban1	/early shift/morning work shift/
早知	tsawX trje	zao3 zhi1	/foresight/foreknowledge/if one had known earlier,.../
早秋	tsawX tshjuw	zao3 qiu1	/early autumn/
早稻	tsawX dawX	zao3 dao4	/early season rice/rice at transplanting or still unripe/
早茶	tsawX drae	zao3 cha2	/morning tea/
早課	tsawX khwaH	zao3 ke4	/matins/morning service (in the Catholic Church)/morning chorus (of birds)/
早起	tsawX khiX	zao3 qi3	/to get up early/
早退	tsawX thwojH	zao3 tui4	/to leave early (before the stipulated finishing time)/to retire early (from one's job)/
早逝	tsawX dzyejH	zao3 shi4	/early demise/untimely death/
早霜	tsawX srjang	zao3 shuang1	/early frost/
早餐	tsawX tshan	zao3 can1	/breakfast/CL:份[fen4],頓|顿[dun4],次[ci4]/
早點	tsawX temX	zao3 dian3	/breakfast/
旬始	zwin syiX	xun2 shi3	/comet from Saturn, traditionally described as yellow/evil omen/
旬年	zwin nen	xun2 nian2	/full year/ten years/
旬日	zwin nyit	xun2 ri4	/(literary) ten days/short period/
旬時	zwin dzyi	xun2 shi2	/ten days/
旬朔	zwin sraewk	xun2 shuo4	/ten days/one month/short period/
旬期	zwin gi	xun2 qi1	/ten days/
旬歲	zwin sjwejH	xun2 sui4	/full year/first birthday/
旬邑	zwin ’ip	Xun2 yi4	/Xunyi County in Xianyang 咸陽|咸阳[Xian2 yang2], Shaanxi/
旬陽	zwin yang	Xun2 yang2	/Xunyang County in Ankang 安康[An1 kang1], Shaanxi/
旭日	xjowk nyit	xu4 ri4	/the rising sun/
旱傘	hanX sanX	han4 san3	/(dialect) parasol/
旱冰	hanX ping	han4 bing1	/roller skating/
旱廁	hanX tsrhiH	han4 ce4	/pit toilet/
旱情	hanX dzjeng	han4 qing2	/drought conditions/
旱災	hanX tsoj	han4 zai1	/drought/
旱煙	hanX ’en	han4 yan1	/tobacco (smoked in a long-stemmed pipe)/
旱象	hanX zjangX	han4 xiang4	/drought/
旱魃	hanX bat	han4 ba2	/drought demon/
旺季	hjwangH kjwijH	wang4 ji4	/busy season/peak period/see also 淡季[dan4 ji4]/
旺月	hjwangH ngjwot	wang4 yue4	/busy (business) month/
旺熾	hjwangH tsyhiH	wang4 chi4	/blazing/
旺角	hjwangH kaewk	Wang4 Jiao3	/Mong Kok (area in Hong Kong)/
昂仁	ngang nyin	Ang2 ren2	/Ngamring county, Tibetan: Ngam ring rdzong, in Shigatse prefecture, Tibet/
昂利	ngang lijH	Ang2 li4	/Henri (name)/
昂奮	ngang pjunH	ang2 fen4	/buoyant/high-spirited/vigorous/
昂山	ngang srean	Ang2 Shan1	/Aung San (1915-1947), Burmese general and politician, hero of Myanmar independence movement and father of Aung San Su Kyi 昂山素季[Ang2 Shan1 Su4 Ji4]/
昂揚	ngang yang	ang2 yang2	/elated/high-spirited/uplifting (music)/
昂昂	ngang ngang	ang2 ang2	/high-spirited/brave-looking/
昂然	ngang nyen	ang2 ran2	/upright and unafraid/
昂貴	ngang kjw+jH	ang2 gui4	/expensive/costly/
昆仲	kwon drjuwngH	kun1 zhong4	/(literary) brothers/elder and younger brother/
昆布	kwon puH	kun1 bu4	/kelp/
昆明	kwon mjaeng	Kun1 ming2	/Kunming prefecture-level city and capital of Yunnan province in southwest China/
昆陽	kwon yang	Kun1 yang2	/Kunyang town and former county in Yunnan/
昇值	sying driH	sheng1 zhi2	/to rise in value/to appreciate/
昇空	sying khuwng	sheng1 kong1	/to rise to the sky/to lift off/to levitate/liftoff/
昊天	hawX then	hao4 tian1	/clear sky/
昌原	tsyhang ngjwon	Chang1 yuan2	/Changwon City, capital of South Gyeongsang Province 慶尚南道|庆尚南道[Qing4 shang4 nan2 dao4], South Korea/
昌吉	tsyhang kjit	Chang1 ji2	/Changji Hui autonomous prefecture 昌吉回族自治州[Chang1 ji2 Hui2 zu2 zi4 zhi4 zhou1], Xinjiang/
昌圖	tsyhang du	Chang1 tu2	/Changtu county in Tieling 鐵嶺|铁岭, Liaoning/
昌寧	tsyhang neng	Chang1 ning2	/Changning county in Baoshan 保山[Bao3 shan1], Yunnan/
昌明	tsyhang mjaeng	chang1 ming2	/flourishing/thriving/
昌江	tsyhang kaewng	Chang1 Jiang1	/Chang River, Jiangxi/
昌江	tsyhang kaewng	Chang1 jiang1	/Changjiang district of Jingdezhen city 景德鎮市|景德镇市, Jiangxi/Changjiang Lizu autonomous county, Hainan/
昌邑	tsyhang ’ip	Chang1 yi4	/Changyi county level city in Weifang 濰坊|潍坊[Wei2 fang1], Shandong/
昌都	tsyhang tu	Chang1 du1	/Kham or Chamdo, Tibetan: Chab mdo historic capital of Kham prefecture of Tibet (Chinese Qamdo or Changdu)/also Qamdo county/
昌黎	tsyhang lej	Chang1 li2	/Changli county in Qinhuangdao 秦皇島|秦皇岛[Qin2 huang2 dao3], Hebei/
明了	mjaeng lewX	ming2 liao3	/to understand clearly/to be clear about/plain/clear/also written 明瞭|明了[ming2 liao3]/
明亮	mjaeng ljangH	ming2 liang4	/bright/shining/glittering/to become clear/
明仁	mjaeng nyin	Ming2 ren2	/Akihito, personal name of the Heisei 平成[Ping2 cheng2] emperor of Japan (1933-), reigned 1989-2019/
明代	mjaeng dojH	Ming2 dai4	/the Ming dynasty (1368-1644)/
明初	mjaeng tsrhjo	Ming2 chu1	/the early Ming (i.e. from second half of 14th century)/
明史	mjaeng sriX	Ming2 shi3	/History of the Ming Dynasty, twenty fourth of the 24 dynastic histories 二十四史[Er4 shi2 si4 Shi3], compiled under Zhang Tingyu 張廷玉|张廷玉[Zhang1 Ting2 yu4] in 1739 during the Qing Dynasty, 332 scrolls/
明喻	mjaeng yuH	ming2 yu4	/simile/
明報	mjaeng pawH	Ming2 Bao4	/Ming Pao newspaper (Hong Kong)/
明天	mjaeng then	ming2 tian1	/tomorrow/
明媚	mjaeng mijH	ming2 mei4	/bright and beautiful/
明子	mjaeng tsiX	ming2 zi5	/see 松明[song1 ming2]/
明察	mjaeng tsrheat	ming2 cha2	/to note clearly/to perceive/
明山	mjaeng srean	Ming2 shan1	/Mingshan district of Benxi city 本溪市, Liaoning/
明年	mjaeng nen	ming2 nian2	/next year/
明德	mjaeng tok	ming2 de2	/highest virtue/illustrious virtue/
明志	mjaeng tsyiH	ming2 zhi4	/to demonstrate one's sincere convictions/
明慧	mjaeng hwejH	ming2 hui4	/intelligent/brilliant/
明手	mjaeng syuwX	ming2 shou3	/dummy (in bridge)/
明教	mjaeng kaew	Ming2 jiao4	/Manicheism/same as 摩尼教/
明文	mjaeng mjun	ming2 wen2	/to state in writing (laws, rules etc)/
明日	mjaeng nyit	ming2 ri4	/tomorrow/
明早	mjaeng tsawX	ming2 zao3	/tomorrow morning/tomorrow/
明明	mjaeng mjaeng	ming2 ming2	/obviously/plainly/undoubtedly/definitely/
明星	mjaeng seng	ming2 xing1	/star/celebrity/
明智	mjaeng trjeH	ming2 zhi4	/sensible/wise/judicious/sagacious/
明月	mjaeng ngjwot	ming2 yue4	/bright moon/refers to 夜明珠, a legendary pearl that can glow in the dark/CL:輪|轮[lun2]/
明朗	mjaeng langX	ming2 lang3	/bright/clear/obvious/forthright/open-minded/bright and cheerful/
明末	mjaeng mat	Ming2 mo4	/late Ming/first half of the 17th century/
明杖	mjaeng drjangX	ming2 zhang4	/white cane (used by the blind)/
明水	mjaeng sywijX	Ming2 shui3	/Mingshui county in Suihua 綏化|绥化, Heilongjiang/
明淨	mjaeng dzjengH	ming2 jing4	/bright and clean/luminous/
明清	mjaeng tshjeng	Ming2 Qing1	/the Ming (1368-1644) and Qing (1644-1911) dynasties/
明渠	mjaeng gjo	ming2 qu2	/(open, uncovered) water channel/canal/
明溪	mjaeng khej	Ming2 xi1	/Mingxi county in Sanming 三明[San1 ming2], Fujian/
明滅	mjaeng mjiet	ming2 mie4	/to flicker/to flash on and off/to brighten and fade/
明澈	mjaeng drjet	ming2 che4	/clear/limpid/
明火	mjaeng xwaX	ming2 huo3	/flame/open fire/
明珠	mjaeng tsyu	ming2 zhu1	/pearl/jewel (of great value)/
明理	mjaeng liX	ming2 li3	/sensible/reasonable/an obvious reason, truth or fact/to understand the reason or reasoning/
明白	mjaeng baek	ming2 bai5	/clear/obvious/unequivocal/to understand/to realize/
明皎	mjaeng kewX	ming2 jiao3	/clear and bright/
明知	mjaeng trje	ming2 zhi1	/to be fully aware of/to know perfectly well/
明確	mjaeng khaewk	ming2 que4	/clear-cut/definite/explicit/to clarify/to specify/to make definite/
明碼	mjaeng maeX	ming2 ma3	/non-secret code (such as Morse code, Chinese telegraph code, ASCII etc)/plaintext (cryptography)/(of prices) clearly marked/
明礬	mjaeng bjon	ming2 fan2	/alum/
明細	mjaeng sejH	ming2 xi4	/clear and detailed/definite/details (are as follows:)/
明蝦	mjaeng hae	ming2 xia1	/prawn/
明言	mjaeng ngjon	ming2 yan2	/to say clearly/to argue clearly/to pronounce/pronounced/
明證	mjaeng tsyingH	ming2 zheng4	/clear proof/
明邃	mjaeng swijH	ming2 sui4	/glistening and piercing/
明鏡	mjaeng kjaengH	Ming2 jing4	/Der Spiegel/
明鏡	mjaeng kjaengH	ming2 jing4	/mirror (as a metaphor for sth beautiful, bright and flat -- such as a lake -- or sth that provides clarity and insight)/
明顯	mjaeng xenX	ming2 xian3	/clear/distinct/obvious/
明體	mjaeng thejX	ming2 ti3	/Mincho/Song font/
昏亂	xwon lwanH	hun1 luan4	/dazed/confused/fuddled/
昏君	xwon kjun	hun1 jun1	/incapable ruler/
昏庸	xwon yowng	hun1 yong1	/muddleheaded/
昏暗	xwon ’omH	hun1 an4	/dusky/
昏沉	xwon drim	hun1 chen2	/murky/dazed/befuddled/dizzy/
昏睡	xwon dzyweH	hun1 shui4	/sleep/drowse when unconscious/lethargic sleep/lethargy/
昏聵	xwon ngweajH	hun1 kui4	/muddle-headed/
昏花	xwon xwae	hun1 hua1	/dim (eyesight)/blurred (vision)/
昏迷	xwon mej	hun1 mi2	/to lose consciousness/to be in a coma/stupor/coma/stunned/disoriented/
昏頭	xwon duw	hun1 tou2	/to lose one's head/to be out of one's mind/to be dazed/
昔年	sjek nen	xi1 nian2	/former years/previous years/
昔日	sjek nyit	xi1 ri4	/formerly/in olden days/
昔陽	sjek yang	Xi1 yang2	/Xiyang county in Jinzhong 晉中|晋中[Jin4 zhong1], Shanxi/
星名	seng mjieng	xing1 ming2	/star name/
星圖	seng du	xing1 tu2	/star atlas/
星團	seng dwan	xing1 tuan2	/star cluster/
星子	seng tsiX	Xing1 zi3	/Xingzi county in Jiujiang 九江, Jiangxi/
星官	seng kwan	xing1 guan1	/Chinese constellations/
星家	seng kae	xing1 jia1	/astrologist (in former times)/
星座	seng dzwaH	xing1 zuo4	/constellation/astrological sign/CL:張|张[zhang1]/
星斗	seng tuwX	xing1 dou3	/stars/
星星	seng seng	xing1 xing5	/star in the sky/
星曆	seng lek	xing1 li4	/astronomic calendar/
星曜	seng yewH	xing1 yao4	/heavenly bodies (esp. the sun, moon or five visible planets)/
星月	seng ngjwot	xing1 yue4	/the moon and the stars/
星期	seng gi	xing1 qi1	/week/CL:個|个[ge4]/day of the week/Sunday/
星漢	seng xanH	xing1 han4	/Milky Way/our galaxy/
星火	seng xwaX	xing1 huo3	/spark/meteor trail (mostly used in expressions like 急如星火[ji2 ru2 xing1 huo3])/
星球	seng gjuw	xing1 qiu2	/celestial body (e.g. planet, satellite etc)/heavenly body/
星系	seng hejH	xing1 xi4	/see 恆星系|恒星系[heng2 xing1 xi4]/
星級	seng kip	xing1 ji2	/star rating/top-class/highly rated/
星術	seng zywit	xing1 shu4	/astrology/
星表	seng pjewX	xing1 biao3	/star catalog/
星象	seng zjangX	xing1 xiang4	/aspect of the celestial bodies (used for navigation and astrology)/
星辰	seng dzyin	xing1 chen2	/stars/
星際	seng tsjejH	xing1 ji4	/interstellar/interplanetary/
星雲	seng hjun	xing1 yun2	/nebula/
星馳	seng drje	xing1 chi2	/rapidly/
星體	seng thejX	xing1 ti3	/celestial body (planet, satellite etc)/
星鴉	seng ’ae	xing1 ya1	/(bird species of China) spotted nutcracker (Nucifraga caryocatactes)/
映像	’jaengH zjangX	ying4 xiang4	/reflection/image (in a mirror)/
映入	’jaengH nyip	ying4 ru4	/to appear before (one's eyes)/to come to (one's mind)/
映演	’jaengH yenX	ying4 yan3	/to screen a movie (Tw)/
映照	’jaengH tsyewH	ying4 zhao4	/to shine upon/to reflect/
映襯	’jaengH tsrhinH	ying4 chen4	/to set off by contrast/antithesis/analogy parallelism (linguistics)/
春凳	tsyhwin tongH	chun1 deng4	/(old) wooden bench/
春化	tsyhwin xwaeH	chun1 hua4	/(agriculture) vernalization/
春困	tsyhwin khwonH	chun1 kun4	/spring fatigue/spring fever/
春天	tsyhwin then	chun1 tian1	/spring (season)/CL:個|个[ge4]/
春婦	tsyhwin bjuwX	chun1 fu4	/prostitute/
春季	tsyhwin kjwijH	chun1 ji4	/springtime/
春宮	tsyhwin kjuwng	chun1 gong1	/Crown Prince's chambers/by extension, the Crown Prince/erotic picture/
春岑	tsyhwin dzrim	Chun1 cen2	/Hill of Spring (derivation of Tel Aviv 特拉維夫|特拉维夫 from the book of Ezekiel 以西結書|以西结书)/
春心	tsyhwin sim	chun1 xin1	/amorous feelings/stirrings of love/
春情	tsyhwin dzjeng	chun1 qing2	/amorous feelings/
春意	tsyhwin ’iH	chun1 yi4	/beginning of spring/thoughts of love/
春播	tsyhwin paH	chun1 bo1	/spring sowing/
春日	tsyhwin nyit	Chun1 ri4	/Chunri or Chunjih township in Pingtung County 屏東縣|屏东县[Ping2 dong1 Xian4], Taiwan/
春晚	tsyhwin mjonX	Chun1 Wan3	/abbr. for 春節聯歡晚會|春节联欢晚会[Chun1 jie2 Lian2 huan1 Wan3 hui4]/
春景	tsyhwin kjaengX	chun1 jing3	/spring scenery/
春暉	tsyhwin xjw+j	chun1 hui1	/lit. spring sunshine/fig. parental (often maternal) love/
春柳	tsyhwin ljuwX	Chun1 liu3	/Spring Willow Society, pioneering Chinese theatrical company set up in Tokyo in 1906, part of New Culture Movement 新文化運動|新文化运动[Xin1 Wen2 hua4 Yun4 dong4], continued in China from 1912 as 新劇同志會|新剧同志会[Xin1 ju4 Tong2 zhi4 hui4]/
春灌	tsyhwin kwanH	chun1 guan4	/spring irrigation/
春秋	tsyhwin tshjuw	Chun1 qiu1	/Spring and Autumn Period (770-476 BC)/Spring and Autumn Annals, chronicle of Lu State (722-481 BC)/
春秋	tsyhwin tshjuw	chun1 qiu1	/spring and autumn/four seasons/year/a person's age/annals (used in book titles)/
春筍	tsyhwin swinX	chun1 sun3	/springtime bamboo shoots/fig. (of woman's fingers) tender and delicate/
春節	tsyhwin tset	Chun1 jie2	/Spring Festival (Chinese New Year)/
春耕	tsyhwin keang	chun1 geng1	/to plow a field in the spring/
春色	tsyhwin srik	chun1 se4	/colors of spring/spring scenery/
春茶	tsyhwin drae	chun1 cha2	/tea leaves gathered at springtime or the tea made from these leaves/
春藥	tsyhwin yak	chun1 yao4	/aphrodisiac/
春蠶	tsyhwin dzom	Chun1 can2	/Silkworms in Spring (1933), Chinese silent movie in socialist realist style, based on novel by Mao Dun 茅盾[Mao2 Dun4]/
春試	tsyhwin syiH	chun1 shi4	/metropolitan civil service examination (held triennially in spring in imperial times)/
春貼	tsyhwin thep	chun1 tie1	/see 春聯|春联[chun1 lian2]/
春遊	tsyhwin yuw	chun1 you2	/spring outing/spring excursion/
春運	tsyhwin hjunH	chun1 yun4	/(increased) passenger transportation around Chinese New Year/
春闈	tsyhwin hjw+j	chun1 wei2	/metropolitan civil service examination (held triennially in spring in imperial times)/Crown Prince's chambers/by extension, the Crown Prince/
春霖	tsyhwin lim	chun1 lin2	/spring rains/
春餅	tsyhwin pjiengX	chun1 bing3	/spring pancake, a Chinese flatbread wrap/
昧心	mwojH sim	mei4 xin1	/against one's conscience/
昧旦	mwojH tanH	mei4 dan4	/the time just before daybreak/
昧死	mwojH sijX	mei4 si3	/to risk one's life/
昨兒	dzak nye	zuo2 r5	/(coll.) yesterday/
昨夜	dzak yaeH	zuo2 ye4	/last night/
昨天	dzak then	zuo2 tian1	/yesterday/
昨日	dzak nyit	zuo2 ri4	/yesterday/
昨晚	dzak mjonX	zuo2 wan3	/yesterday evening/last night/
昭蘇	tsyew su	Zhao1 su1	/Zhaosu county or Mongghulküre nahiyisi in Ili Kazakh autonomous prefecture 伊犁哈薩克自治州|伊犁哈萨克自治州[Yi1 li2 Ha1 sa4 ke4 zi4 zhi4 zhou1], Xinjiang/
昭通	tsyew thuwng	Zhao1 tong1	/Zhaotong prefecture level city in Yunnan/
昭陽	tsyew yang	Zhao1 yang2	/Zhaoyang district of Zhaotong city 昭通市[Zhao1 tong1 shi4], Yunnan/
昭雪	tsyew sjwet	zhao1 xue3	/to exonerate/to clear (from an accusation)/to rehabilitate/
是以	dzyeX yiX	shi4 yi3	/therefore/thus/so/
是故	dzyeX kuH	shi4 gu4	/therefore/so/consequently/
是日	dzyeX nyit	shi4 ri4	/(formal) this day/that day/
是的	dzyeX tek	shi4 de5	/yes, that's right/variant of 似的[shi4 de5]/
是非	dzyeX pj+j	shi4 fei1	/right and wrong/quarrel/
昱日	yuwk nyit	yu4 ri4	/(Tw) the following day/
昱昱	yuwk yuwk	yu4 yu4	/variant of 煜煜[yu4 yu4]/
昵愛	nrit ’ojH	ni4 ai4	/to love dearly/intimacy/close love/
時代	dzyi dojH	Shi2 dai4	/Time, US weekly news magazine/
時代	dzyi dojH	shi2 dai4	/age/era/epoch/period (in one's life)/CL:個|个[ge4]/
時俗	dzyi zjowk	shi2 su2	/prevalent custom of the time/
時價	dzyi kaeH	shi2 jia4	/current price/
時刻	dzyi khok	shi2 ke4	/time/juncture/moment/period of time/CL:個|个[ge4],段[duan4]/constantly/always/
時勢	dzyi syejH	shi2 shi4	/current situation/circumstances/current trend/
時報	dzyi pawH	Shi2 bao4	/"Times" (newspaper, e.g. New York Times)/
時宜	dzyi ngje	shi2 yi2	/timely/at the right moment/appropriate to the occasion/opportune/to fit current fashion/
時局	dzyi gjowk	shi2 ju2	/current political situation/
時常	dzyi dzyang	shi2 chang2	/often/frequently/
時序	dzyi zjoX	shi2 xu4	/timing (of a signal or sequence)/time course/
時式	dzyi syik	shi2 shi4	/fashionable style/(linguistics) tense/
時態	dzyi thojH	shi2 tai4	/(verb) tense/
時政	dzyi tsyengH	shi2 zheng4	/current politics/political situation of the time/
時效	dzyi haewH	shi2 xiao4	/effectiveness for a given period of time/prescription (law)/aging (metallurgy)/
時日	dzyi nyit	shi2 ri4	/time/auspicious time/time and date/long period of time/this day/
時時	dzyi dzyi	shi2 shi2	/often/constantly/
時期	dzyi gi	shi2 qi1	/period/phase/CL:個|个[ge4]/
時機	dzyi kj+j	shi2 ji1	/fortunate timing/occasion/opportunity/
時段	dzyi dwanH	shi2 duan4	/time interval/work shift/time slot/the twelve two-hour divisions of the day/
時程	dzyi drjeng	shi2 cheng2	/timetable/schedule/
時節	dzyi tset	shi2 jie2	/season/time/
時綏	dzyi swij	shi2 sui2	/peace all year round (old letter closing)/
時而	dzyi nyi	shi2 er2	/occasionally/from time to time/
時菜	dzyi tshojH	shi2 cai4	/seasonal vegetable/
時蔬	dzyi srjo	shi2 shu1	/seasonal vegetables/
時訊	dzyi sinH	shi2 xun4	/news/current events/
時辰	dzyi dzyin	shi2 chen5	/time/one of the 12 two-hour periods of the day/
時運	dzyi hjunH	shi2 yun4	/circumstances/fate/
時鐘	dzyi tsyowng	shi2 zhong1	/clock/
時間	dzyi keanH	shi2 jian1	/time/period/CL:段[duan4]/
時限	dzyi heanX	shi2 xian4	/time limit/
時隔	dzyi keak	shi2 ge2	/separated in time (usu. followed by a quantity of time)/
時髦	dzyi maw	shi2 mao2	/in vogue/fashionable/
時點	dzyi temX	shi2 dian3	/point of time (in time-based systems)/
晃動	hwangX duwngX	huang4 dong4	/to sway/to rock/
晃悠	hwangX yuw	huang4 you5	/to swing/to sway/to wobble/to hang around/to hover around/
晉中	tsinH trjuwng	Jin4 zhong1	/Jinzhong prefecture-level city in Shanxi 山西/
晉代	tsinH dojH	Jin4 dai4	/Jin Dynasty (265-420)/
晉升	tsinH sying	jin4 sheng1	/to promote to a higher position/
晉城	tsinH dzyeng	Jin4 cheng2	/Jincheng prefecture-level city in Shanxi 山西/
晉安	tsinH ’an	Jin4 an1	/Jin'an district of Fuzhou city 福州市[Fu2 zhou1 shi4], Fujian/
晉寧	tsinH neng	Jin4 ning2	/Jinning county in Kunming 昆明[Kun1 ming2], Yunnan/
晉州	tsinH tsyuw	Jin4 zhou1	/Jinzhou county-level city in Hebei/Jin Prefecture, established under the Northern Wei dynasty, centered on present-day Linfen 臨汾市|临汾市[Lin2 fen2 shi4] in Shanxi/
晉書	tsinH syo	Jin4 shu1	/History of the Jin Dynasty, fifth of the 24 dynastic histories 二十四史[Er4 shi2 si4 Shi3], compiled under Fang Xuanling 房玄齡|房玄龄[Fang2 Xuan2 ling2] in 648 during Tang Dynasty 唐朝[Tang2 chao2], 130 scrolls/
晉江	tsinH kaewng	Jin4 jiang1	/Jinjiang county level city in Quanzhou 泉州[Quan2 zhou1], Fujian/
晉源	tsinH ngjwon	Jin4 yuan2	/Jinyuan district of Taiyuan city 太原市[Tai4 yuan2 shi4], Shanxi/
晉爵	tsinH tsjak	jin4 jue2	/to join the nobility/to rise through the nobility/
晉級	tsinH kip	jin4 ji2	/to advance in rank/promotion/advancement/
晚報	mjonX pawH	wan3 bao4	/evening newspaper/(in a newspaper's name) Evening News/
晚場	mjonX drjang	wan3 chang3	/evening show (at theater etc)/
晚安	mjonX ’an	wan3 an1	/Good night!/Good evening!/
晚宴	mjonX ’enH	wan3 yan4	/banquet/dinner party/soiree/
晚年	mjonX nen	wan3 nian2	/one's later years/
晚景	mjonX kjaengX	wan3 jing3	/evening scene/circumstances of one's declining years/
晚期	mjonX gi	wan3 qi1	/later period/end stage/terminal/
晚清	mjonX tshjeng	wan3 Qing1	/the late Qing/late 19th and early 20th century China/
晚生	mjonX sraeng	wan3 sheng1	/I (self-deprecatory, in front of elders) (old)/
